seed,family,tau,n,q,model,target,ISE,IAE,KL,p_hat,p_true,AE,RE
0,gumbel,0.6,5000,0.01414213562373095,Ordinary,c,1.7869348452395633,0.0019428013462354364,0.006288685556077865,,,,
0,gumbel,0.6,5000,0.01414213562373095,Tail,r,5.062521613634406,0.2833844719717942,0.2642107321415799,,,,
0,gumbel,0.6,5000,0.01414213562373095,Tail,h,100.61830567062832,1.2074175662889288,0.8095047385277543,,,,
0,gumbel,0.6,5000,0.01414213562373095,Tail,c,5.0625214740090305,0.004007661525752371,0.003736503904137932,,,,
0,gumbel,0.6,5000,0.01414213562373095,Ordinary,p,,,,0.004389910957487053,0.0036273537290123,0.0007625572284747527,0.2102241152760117
0,gumbel,0.6,5000,0.01414213562373095,Tail,p,,,,0.003,0.0036273537290123,0.0006273537290122999,0.17295079991636864
0,gumbel,0.9,100,0.1,Ordinary,r,1277.8371690888296,1.0990177856567278,1.394399107834799,,,,
0,gumbel,0.9,100,0.1,Ordinary,h,2065.1122451626143,1.3482627178878526,2.451614378880993,,,,
0,gumbel,0.9,100,0.1,Ordinary,c,1277.8371076752687,0.1099017732837326,0.13944493259120044,,,,
0,gumbel,0.9,100,0.1,Tail,r,4885.727599648958,1.8840642903881202,-0.014576080253024079,,,,
0,gumbel,0.9,100,0.1,Tail,h,3835.2232323518733,1.7820417845223575,0.3237945116041585,,,,
0,gumbel,0.9,100,0.1,Tail,c,4885.727364838192,0.18840641998389493,0.0011015615577277978,,,,
0,gumbel,0.9,100,0.1,Ordinary,p,,,,0.12531798045132755,0.08476694616990973,0.04055103428141782,0.4783826257010127
0,gumbel,0.9,100,0.1,Tail,p,,,,0.1,0.08476694616990973,0.01523305383009027,0.17970511524098817
0,gumbel,0.9,500,0.044721359549995794,Ordinary,r,1652.2359180349513,1.0846635013586587,5.184229322855317,,,,
0,gumbel,0.9,500,0.044721359549995794,Ordinary,h,2582.099062052633,1.193911588106053,6.930305339506817,,,,
0,gumbel,0.9,500,0.044721359549995794,Ordinary,c,1652.2360416577897,0.048507630064433316,0.23189807266955637,,,,
0,gumbel,0.9,500,0.044721359549995794,Tail,r,1527.5001391673793,1.2121091613468369,2.7768329217595964,,,,
0,gumbel,0.9,500,0.044721359549995794,Tail,h,2397.4617707764337,1.5101690583800211,3.592897753815951,,,,
0,gumbel,0.9,500,0.044721359549995794,Tail,c,1527.5002534572948,0.05420717367429975,0.12418477278632198,,,,
0,gumbel,0.9,500,0.044721359549995794,Ordinary,p,,,,0.04466608383764891,0.03578143770239987,0.008884646135249044,0.2483032182536687
0,gumbel,0.9,500,0.044721359549995794,Tail,p,,,,0.038,0.03578143770239987,0.0022185622976001323,0.062003162535063064
0,gumbel,0.9,1000,0.03162277660168379,Ordinary,r,1535.8635239791688,1.045266356286933,4.822184321501788,,,,
0,gumbel,0.9,1000,0.03162277660168379,Ordinary,h,2523.4852261418114,1.1526971773598544,6.66806377181623,,,,
0,gumbel,0.9,1000,0.03162277660168379,Ordinary,c,1535.8636388948448,0.033054226947285735,0.15254537754550498,,,,
0,gumbel,0.9,1000,0.03162277660168379,Tail,r,1469.5797210207818,1.1930457174129327,2.9809134693788844,,,,
0,gumbel,0.9,1000,0.03162277660168379,Tail,h,2428.5506415736495,1.492230014827977,4.145485347436376,,,,
0,gumbel,0.9,1000,0.03162277660168379,Tail,c,1469.5798309770016,0.03772742102016833,0.09426980404969046,,,,
0,gumbel,0.9,1000,0.03162277660168379,Ordinary,p,,,,0.031441158164280114,0.024679696020556172,0.006761462143723942,0.27396861525734334
0,gumbel,0.9,1000,0.03162277660168379,Tail,p,,,,0.029,0.024679696020556172,0.004320303979443829,0.1750549915949276
0,gumbel,0.9,5000,0.01414213562373095,Ordinary,r,1309.0553494699257,0.9291559403183939,7.055904084485935,,,,
0,gumbel,0.9,5000,0.01414213562373095,Ordinary,h,2412.216052547744,1.1742726378728923,9.841211654748257,,,,
0,gumbel,0.9,5000,0.01414213562373095,Ordinary,c,1309.0553133659118,0.013140248961167228,0.0997926018653614,,,,
0,gumbel,0.9,5000,0.01414213562373095,Tail,r,855.9111310210088,1.0328646245297666,1.3538437083200303,,,,
0,gumbel,0.9,5000,0.01414213562373095,Tail,h,1603.2453875851525,1.402698830702251,1.9098196530590048,,,,
0,gumbel,0.9,5000,0.01414213562373095,Tail,c,855.9111074148054,0.014606911198192313,0.019152264177388252,,,,
0,gumbel,0.9,5000,0.01414213562373095,Ordinary,p,,,,0.011883894853013915,0.01041768101334724,0.0014662138396666757,0.14074282345448544
0,gumbel,0.9,5000,0.01414213562373095,Tail,p,,,,0.0108,0.01041768101334724,0.0003823189866527608,0.0366990490650395
0,gaussian,0.3,100,0.1,Ordinary,r,9.649115763451482,0.29931662519742985,-0.08568492924710244,,,,
0,gaussian,0.3,100,0.1,Ordinary,h,17.38754239523629,0.636569588258237,0.4749732288561142,,,,
0,gaussian,0.3,100,0.1,Ordinary,c,9.649115299709653,0.02993166108121076,-0.008568492512903743,,,,
0,gaussian,0.3,100,0.1,Tail,r,62087.62266504243,5.764660701391881,-0.15563988106650956,,,,
